# %ECSV 0.9
# ---
# datatype:
# - {name: e_ref, unit: TeV, datatype: float64, format: '%.2f'}
# - {name: dnde, unit: 1 / (cm2 s TeV), datatype: float64, format: '%8.4g'}
# - {name: dnde_errp, unit: 1 / (cm2 s TeV), datatype: float64, format: '%8.4g'}
# - {name: dnde_errn, unit: 1 / (cm2 s TeV), datatype: float64, format: '%8.4g'}
# meta: !!omap
# - {SED_TYPE: dnde}
# schema: astropy-2.0
e_ref dnde dnde_errp dnde_errn
79.408251613035 1.16384388681653e-17 2.94144473919032e-18 2.97970557287563e-18
126.035414266500 3.24889452679055e-18 1.05696414834424e-18 9.64188045468671e-19
198.602520644140 1.38425505544678e-18 4.24684557962378e-19 3.97005089449108e-19
315.218512626796 3.40416913281139e-19 1.78977612448129e-19 1.41076558301825e-19
500.309413900591 1.64582677096089e-19 9.73676738636346e-20 7.08834940741484e-20
794.082516130350 3.99082721778183e-20 3.96631490510232e-20 2.52253613597381e-20
1260.354142665000 4.55537992222507e-20 3.11513108536733e-20 2.13827643174292e-20
2502.062972056830 1.20576296922262e-20 1.06667114151691e-20 6.57796105848213e-21	
