# %ECSV 0.9
# ---
# datatype:
# - {name: e_ref, unit: TeV, datatype: float64, format: '%.2f'}
# - {name: dnde, unit: 1 / (cm2 s TeV), datatype: float64, format: '%8.4g'}
# - {name: dnde_errp, unit: 1 / (cm2 s TeV), datatype: float64, format: '%8.4g'}
# - {name: dnde_errn, unit: 1 / (cm2 s TeV), datatype: float64, format: '%8.4g'}
# meta: !!omap
# - {SED_TYPE: dnde}
# schema: astropy-2.0
e_ref dnde dnde_errp dnde_errn
79.217424357340 1.21489407632063e-17 3.36555383413053e-18 3.22838170004864e-18
125.883877370525 3.48741729799386e-18 1.20137286170326e-18 1.05521481067542e-18
198.722054710750 1.47336267453614e-18 5.07555529317500e-19 4.19013655829174e-19
315.787813836015 3.71861249853321e-19 1.96771982310296e-19 1.55278019430595e-19
498.506962968332 2.11224278180344e-19 1.28833575017119e-19 9.28603296605291e-20
792.174243573397 7.54622123558272e-20 7.96827336175411e-20 4.81621041291870e-20
1258.839051002284 1.34708151569298e-19 9.36205773890517e-20 6.39262276169093e-20
2505.074913412939 4.81512415007559e-20 4.23156429318554e-20 2.67483059939489e-20
